linkDescription,hours
"Business Hour : 9.30am to 3.00pm ; 5.30pm to 9.00pm ; 1st & 15th of lunar month  7.00am to 3.00pm ; 5.30pm to 9.00pm 
Rest day : Wednesday ( if 1st & 15th of lunar month fall on Wednesday , Tuesday or Thursday will be their rest day )
Updated 21/4/2022

",9.30am to 3.00pm ; 5.30pm to 9.00pm ; 1st & 15th of lunar month  7.00am to 3.00pm ; 5.30pm to 9.00pm
"Business Hour : 8.00am to 3.00pm
Rest day : weekends
Updated 24/5/2022",8.00am to 3.00pm
"Business Hour : 10.00am to 5.30pm  
Open daily
Updated 19/5/2022  ",10.00am to 5.30pm
Business Hour : 7.30am to 2.30pm Rest day : Sunday Updated 22/5/2022,7.30am to 2.30pm
"Business Hour : 6.30am to 1.00pm Rest day : Monday & Tuesday 
Updated 6/9/2022",6.30am to 1.00pm
Business Hour : 7.00am to 11.00am Rest day : Saturday & Sunday Updated 23/7/2022,7.00am to 11.00am
"Business Hour : 10.30am to 3.50pm ; 1st & 15th of lunar month 7.30am to 3.30pm
Rest day : Sunday  
Updated 6/4/2022",10.30am to 3.50pm ; 1st & 15th of lunar month 7.30am to 3.30pm
Business Hour : 6.30am to 10.30am Rest day : Monday & Tuesday Updated 22/5/2022,6.30am to 10.30am
"Business Hour : 6.00am to 10.00am
Rest day : Monday
Updated 30/4/2022",6.00am to 10.00am
"Business Hour : 11.00am to 3.00pm, 5.00pm to 9.00pm
Rest day : Monday
Updated 5/2/2022","11.00am to 3.00pm, 5.00pm to 9.00pm"
"Business Hour : 6.30am to 11.00am 
Rest day: uncertain Updated 25/5/2022",6.30am to 11.00am
"Business Hour : 5.00am to 11.00am ; 1st & 15th of lunar month 4.30am to 11.00am 
Rest day : Thursday 
Updated 25/5/2022",5.00am to 11.00am ; 1st & 15th of lunar month 4.30am to 11.00am
"Business Hour: 6.00am to 2.00pm  
Open daily 
Updated 28/5/2022",
"Business Hour : 10.00am to 9.00pm
Rest day : Wednesday 
Updated 23/5/2022
",10.00am to 9.00pm
"Business Hour : 9.30am to 6.30pm  
Rest day : Sunday
Updated 15/3/2022",9.30am to 6.30pm
"Business Hour : 12.00pm to 9.30pm 
Rest day : Monday
Updated 4/5/2022",12.00pm to 9.30pm
"Business Hour : 6.30am to 11.30am 
Open daily 
Updated 1/4/2022",6.30am to 11.30am
"Business Hour : 6.30am to 10.30am Rest day : Friday, 2nd & 16th of lunar month Updated 20/4/2022",6.30am to 10.30am
"Business Hour : 8.30am to 2.30pm
Rest day : alternate Monday 
Updated 26/6/2022",8.30am to 2.30pm
"Business Hour : 7.30am to 1.30pm
Rest day : Tuesday (including 1st & 15th of lunar month)
Updated 15/8/2022",7.30am to 1.30pm
"Business Hour : 12.30pm to7.00pm
Rest day : Wednesday （ including 1st & 15th of lunar month )
Updated 11/3/2022


",12.30pm to7.00pm
"Business Hour : 6.00am to 1.00pm 
Rest day : Sunday 
Updated 12/4/2022	",6.00am to 1.00pm
"Business Hour : 7.30am to 3.30pm
Rest day : Monday
Updated 11/4/2022",7.30am to 3.30pm
"Business Hour : 7.30am to 5.30pm 
Rest day : alternate Wednesday
Updated 21/4/2022",7.30am to 5.30pm
"Business Hour : 10.00am to 7.30pm 
Rest day : Monday (if 1st & 15th of lunar month fall on Monday, next day will be their rest day)
Updated 15/3/2022",10.00am to 7.30pm
"Business Hour : 7.30am to 2.00pm 
Rest day : alternate Tuesday  
Updated 20/5/2022",7.30am to 2.00pm
"Business Hour : 9.00am to 4.00pm Rest day : Friday (including 1st & 15th of lunar month) & Saturday
Updated 19/5/2022",9.00am to 4.00pm
"Business Hour : 8.00am to 1.00pm, 5.00pm to 7.30pm
Rest day : Tuesday
Updated 5/6/2022","8.00am to 1.00pm, 5.00pm to 7.30pm"
"Business Hour : 10.30am to 3.00pm , 5.30pm to 8.45pm 
Rest day : Wednesday ( if 1st & 15th of lunar month fall on Wednesday, next day will be their rest day )
Updated 24/5/2022



","10.30am to 3.00pm , 5.30pm to 8.45pm"
"Business Hour : 7.30am to 3.00pm 
Rest day : Wednesday & weekends 
Updated 18/5/2022",7.30am to 3.00pm
"Business Hour :  7.30am to 2.00pm
Rest day : Sunday ( twice a month )
Updated 29/3/2022",7.30am to 2.00pm
"Business Hour : 6.30am to 10.30am Rest day : Sunday
Updated 12/04/2022",6.30am to 10.30am
"Business Hour : 7.00am to 11.00am  Open daily
Updated 12/04/2022",7.00am to 11.00am
"Business Hour : 7.00am to 11.30am Rest day : Tuesday 
Updated 12/04/2022",7.00am to 11.30am
"Business Hour : 11.00am to 2.00pm Rest day : Sunday & selective public holidays 
Updated 24/5/2022",11.00am to 2.00pm
"Business Hour : 6.00am to 1.00pm 
Rest day : Thursday
Updated 25/5/2022",6.00am to 1.00pm
"Business Hour : 11.00am to 8.30pm
Rest day : Monday (if 1st & 15th of lunar month fall on Monday , next day will be their rest day )
Updated 4/5/2022",11.00am to 8.30pm
"Business Hour : 7.00am to 8.30pm ; weekends 7.00am to 5.00pm ; 1st & 15th of lunar month 6.00am to 8.30pm
Rest day : uncertain ( twice a month) 
Update 13/4/2022",7.00am to 8.30pm ; weekends 7.00am to 5.00pm ; 1st & 15th of lunar month 6.00am to 8.30pm
"Business Hour : 6.00am to 1.30pm 
Rest day : Sunday 
Updated 23/5/2022",6.00am to 1.30pm
"Business Hour : 6.00am to 11.30am 
Rest day : alternate Monday
Updated 21/5/2022	",6.00am to 11.30am
"Business Hour : 7.00am to 1.00pm 
Rest day : Monday
Updated 4/4/2022",7.00am to 1.00pm
"Business Hour : 7.00am to 11.00am 
Rest day : Monday, 2nd & 16th of lunar month  
Updated 29/5/2022",7.00am to 11.00am
"Business Hour : 11.00am to 3.00pm , 5.30pm to 9.30pm ; Saturday & Sunday 11.00am to 9.30pm  
Rest day : Wednesday Updated 1/5/2022","11.00am to 3.00pm , 5.30pm to 9.30pm ; Saturday & Sunday 11.00am to 9.30pm"
"Business Hour : 6.30am to 3.30pm
Open daily 
Updated 20/4/2022",6.30am to 3.30pm
"Business Hour : 7.30am to 12.30pm 
Rest day : Tuesday  Updated 14/4/2022",7.30am to 12.30pm
"Business Hour : 11.00am to 6.30pm  
Rest day : Monday 
Updated 9/2/2022",11.00am to 6.30pm
"Business Hour : 10.00am to 9.00pm
Rest day : Monday 
Updated 24/5/2022",10.00am to 9.00pm
Business Hour : 8.00am to 7.00pm Open daily Updated 29/5/2022,8.00am to 7.00pm
"Business Hour : 10.00am to 3.30pm 
Rest day : Sunday  
Updated 26/5/2022",10.00am to 3.30pm
"Business Hour: 9.00am to 10.00pm 
Rest day : alternate Wednesday
Updated 16/4/2022",
"Business Hour : 8.30am to 8.00pm 
Open daily 
Updated 13/4/2022",8.30am to 8.00pm
"Business Hour : 7.00am to 3.00pm 
Rest day : Thursday (if 1st & 15th of lunar month fall on Thursday , next day will be their rest day)  
Updated 23/5/2022",7.00am to 3.00pm
"Business Hour : 6.30am to 10.30am Rest day : Friday  
Updated 21/4/2022",6.30am to 10.30am
"Business Hour : 6.45am to 8.30am only open on Tuesday to Friday 
Updated 17/4/2022",
"Business Hour : 8.00am to 3.00pm 
Rest day : Monday 
Updated 8/9/2022",8.00am to 3.00pm
"Business Hour : 5.30am to 9.30am 
Rest day : Sunday and Monday 
Updated 15/4/2022",5.30am to 9.30am
"Business Hour : 7.00am to 5.00pm 
Rest day : Sunday 
Updated 30/4/2022",7.00am to 5.00pm
"Business Hour : 7.00am to 8.00pm Open daily
Updated 25/5/2022",7.00am to 8.00pm
"Business Hour : 10.00am to 7.00pm ; Friday  to Sunday 10.00am to 9.00pm
Rest day : 2nd , 3th , 16th & 17th of lunar month
Updated 1/6/2022


 ",10.00am to 7.00pm ; Friday  to Sunday 10.00am to 9.00pm
"Business Hour : 6.00pm to 10.00pm
Rest day : Monday
Updated 17/4/2022",6.00pm to 10.00pm
"Business Hour : 2.00pm to 9.00pm 
Rest day : Monday & Wednesday 
Updated 24/5/2022",2.00pm to 9.00pm
"Business Hour : 7.00am to 10.30am 
Rest day : Monday & Tuesday  
Updated 19/5/2022",7.00am to 10.30am
"Business Hour : 7.00am to 3.30pm 
Rest day : Sunday 
Updated 25/5/2022",7.00am to 3.30pm
"Business Hour : 6.00am to 2.00pm 
Rest day : Tuesday 
Updated 22/3/2022",6.00am to 2.00pm
"Business Hour : 7.30am to 4.00pm 
Rest day : Sunday 
Updated 13/4/2022",7.30am to 4.00pm
"Business Hour : 9.00am to 7.00pm 
Rest day : Wednesday 
Updated 9/4/2022	",9.00am to 7.00pm
"Business Hour : 9.30am to 10.00pm
Open daily
Updated 20/4/2022",9.30am to 10.00pm
"Business Hour : 7.00am to 1.30pm 
Rest day : Friday to Sunday 
Updated 25/5/2022",7.00am to 1.30pm
"Business Hour : 8.00am to 12.30pm  
Rest day : weekends
Updated 18/5/2022",8.00am to 12.30pm
"Business Hour : 8.30am to 2.30pm , 6.00pm to 9.30pm
Rest day : Thursday
Updated 31/3/2022

","8.30am to 2.30pm , 6.00pm to 9.30pm"
"Business Hour : 9.00am to 9.00pm  ; 1st & 15th lunar month 9.00am to 4.00pm Open daily
Updated 28/5/2022",9.00am to 9.00pm  ; 1st & 15th lunar month 9.00am to 4.00pm
"Business Hour : 7.00am to 3.00pm 
Rest day : Tuesday
Updated 18/5/2022",7.00am to 3.00pm
"Business Hour : 10.00am to 6.00pm  
Rest day : Friday
Updated 20/4/2022	",10.00am to 6.00pm
"Business Hour : 11.00am to 3.00pm , 5.00pm to 9.30pm  Open daily 
Updated 9/4/2022","11.00am to 3.00pm , 5.00pm to 9.30pm"
"Business Hour : 11.00am to 3.00pm ;  1st & 15th of lunar month 8.00am to 3.00pm
Rest day : Sunday 
Updated 24/5/2022
",11.00am to 3.00pm ;  1st & 15th of lunar month 8.00am to 3.00pm
"Business Hour : Only open on Friday to Sunday , Kuan Yin Festival , 1st & 15th of lunar month 6.30am to 10.30am 
Updated 17/4/2022",
"Business Hour : 11.00am to 7.30pm
Open daily
Updated 28/3/2022",11.00am to 7.30pm
"Business Hour : 12.00pm to 7.00pm 
Rest day : Monday & Tuesday
Updated 11/5/2022",12.00pm to 7.00pm
"Business Hour : 7.00am to 1.30pm 
Rest day : alternate Friday 
Updated 13/4/2022",7.00am to 1.30pm
"Business Hour : 7.00am to 2.00pm  
Rest day : Saturday Updated 22/3/2022
",7.00am to 2.00pm
"Business Hour : 11.00am to 6.30pm
Rest day : Tuesday 
Updated 18/5/2022",11.00am to 6.30pm
"Business Hour : 7.30am to 2.00pm , 5.30pm to 9.00pm  Rest day : Monday
Updated 13/4/2022","7.30am to 2.00pm , 5.30pm to 9.00pm"
"Business Hour : 6.00am to 11.00am
Rest day : Thursday
Updated 14/8/2022",6.00am to 11.00am
"Business Hour : 6.30am to 1.30pm
Rest day : uncertain
Updated 24/5/2022",6.30am to 1.30pm
"Business Hour : 7.30am to 12.00pm
Rest day : alternate Monday
Updated 18/5/2022

",7.30am to 12.00pm
"Business Hour : 7.00am to 1.30pm Rest day : Monday
Updated 17/5/2022",7.00am to 1.30pm
"Business Hour : 7.00am to 4.00pm 
Rest day : Monday ( if 1st & 15th of lunar month fall on Monday , Wednesday will be their rest day )
Updated 21/2/2022
",7.00am to 4.00pm
"Business hour ：7.30am to 3.00pm
Rest day : uncertain
Updated 17/7/2022",
"Business Hour : 7.40am to 2.30pm
Rest day : Friday 
Updated 2/6/2022",7.40am to 2.30pm
"Business Hour : 7.30am to 2.30pm 
Open daily  
Updated 18/5/2022",7.30am to 2.30pm
"Business Hour : 6.00am to 10.30am
Rest day : Sunday (Monday close if 1st & 15th of lunar month fall on Sunday)
Updated 22/1/2022",6.00am to 10.30am
"Business Hour : 8.00am to 4.00pm Rest day : Sunday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 22/5/2022",8.00am to 4.00pm
"Business Hour : 6.00am to 10.30am 
Rest day : Monday (if Public Holidays, Vegetarian day, 1st & 15th of lunar month fall on Monday, next day will be their rest day) 
Updated 18/5/2022",6.00am to 10.30am
"Business Hour : 8.30am to 3.00pm
Rest day : Saturday 
Updated 22/4/2022",8.30am to 3.00pm
"Business Hour : 7.00am to 2.00pm 
Rest day : Monday 
Updated 8/9/2022

",7.00am to 2.00pm
"Business Hour : 8.00am to 2.30pm 
Rest day : Thursday
Updated 21/5/2022	",8.00am to 2.30pm
"Business Hour : 11.00am to 10.00pm
Open daily 
Updated 30/4/2022


",11.00am to 10.00pm
"Business Hour : 5.00pm to 10.30pm
Rest day : Tuesday
Updated 23/5/2022",5.00pm to 10.30pm
"Business Hour : 7.00am to 11.00am
Rest day : Sunday
Updated 22/5/2022	",7.00am to 11.00am
"Business Hour : 7.00am to 3.00pm 
Rest day : weekends
Updated 23/5/2022",7.00am to 3.00pm
Business Hour : 11.00am to 10.00pm Rest day : Thursday Updated 4/5/2022,11.00am to 10.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : Sunday 
Updated 18/5/2022",7.00am to 2.30pm
"Business Hour : 8.00am to 2.30pm
Rest day : uncertain
Updated 2/4/2022",8.00am to 2.30pm
"Business Hour : 11.30am to 3.00pm, 4.00pm to 8.00pm Open daily 
Updated 30/8/2022","11.30am to 3.00pm, 4.00pm to 8.00pm"
"Business Hour : 9.00am to 3.30pm 
Rest day : Weekends & Public Holidays 
Updated 29/3/2022

	
",9.00am to 3.30pm
"Business Hour : 1.00pm to 8.00pm 
Rest day : Sunday
Updated 30/4/2022

",1.00pm to 8.00pm
"Business Hour : 7.00am to 1.30pm 
Rest day : uncertain
Updated 20/5/2022",7.00am to 1.30pm
"Business Hour : 10.00am to 8.00pm ; Sunday 10.00am to 6.00pm
Rest day : Friday
Updated 12/7/2022",10.00am to 8.00pm ; Sunday 10.00am to 6.00pm
"Business Hour : 9.30am to 8.00pm
Open daily
Updated 18/5/2022",9.30am to 8.00pm
"Business Hour : 7.30am to 9.30pm ; Weekends & Public Holidays 10.30am to 9.30om
Open daily 
Updated 9/5/2022

 ",7.30am to 9.30pm ; Weekends & Public Holidays 10.30am to 9.30om
"Business Hour : 7.00am to 1.00pm 
Rest day : Monday
Updated 29/5/2022",7.00am to 1.00pm
"Business Hour : 6.00am to 10.00am
Rest day : Sunday
Updated 30/4/2022",6.00am to 10.00am
"Business Hour : 8.00am to 4.00pm
Rest day : Sunday 
Updated 4/7/2022",8.00am to 4.00pm
"Restaurant Hour : 10.00am to 7.00pm 
Open daily 
Updated 25/5/2022",
"Business Hour : 11.30am to 2.00pm  
Rest day : Weekends & Public Holidays
Updated 16/5/2022	",11.30am to 2.00pm
"Business Hour : 8.00am to 9.30pm
Rest day : Monday
Updated 31/5/2022",8.00am to 9.30pm
"Business Hour: 7.00am to 1.30pm 
Rest day: uncertain
Updated 26/5/2022",
"Business Hour : 8.00am to 2.30pm
Rest day : Wednesday 
Updated 19/8/2022
",8.00am to 2.30pm
"Business Hour : 10.30am to 2.00pm 
Rest day : Weekends & Public Holidays 
Updated 16/5/2022",10.30am to 2.00pm
"Business Hour : 4.30pm to 9.00pm
Rest day : Friday
Updated 2/8/2022",4.30pm to 9.00pm
"Business Hour : 8.00am to 2.00pm 
Rest day : Thursday Updated 10/4/2022",8.00am to 2.00pm
"Business Hour : 8.00am to 10.30pm
Open daily
Updated 18/4/2022",8.00am to 10.30pm
"Business Hour : 5.30am to 2.00pm 
Rest day : uncertain 
Updated 20/5/2022",5.30am to 2.00pm
"Business Hour : 12.00pm to 8.00pm ; weekends 12.00pm to 9.00pm
Rest day : Thursday  
Updated 23/4/2022",12.00pm to 8.00pm ; weekends 12.00pm to 9.00pm
"Business Hour : 7.00am to 1.30pm ; Friday 7.00am to 1.00pm
Rest day : uncertain (twice a month)
Updated 21/4/2022

",7.00am to 1.30pm ; Friday 7.00am to 1.00pm
"Business Hour : 7.00am to 2.30pm
Rest day : Thursday 
Updated 25/4/2022",7.00am to 2.30pm
"Business Hour : 12.00pm to 3.00pm 
Rest day : uncertain Thursday
Updated 19/5/2022",12.00pm to 3.00pm
"Business Hour : 6.30am to 2.00pm
Rest day : Wednesday 
Updated 24/5/2022",6.30am to 2.00pm
"Business Hour : 4.00pm to 8.30pm
Rest day : Thursday 
Updated 12/4/2022",4.00pm to 8.30pm
"Business Hour : 7.00am to 1.30pm ; weekends 7.00am to 12.30pm 
Rest day : Friday ( if 1st & 15th of lunar month fall on Friday, Thursday will be their rest day) 
Updated 25/5/2022

",7.00am to 1.30pm ; weekends 7.00am to 12.30pm
"Business Hour : 9.30am to 7.00pm 
Open daily 
Updated 18/4/2022",9.30am to 7.00pm
"Business Hour : 7.00am to 2.00pm , 5.30pm to 9.00pm
Rest day : Wednesday( if 1st & 15th of lunar month fall on Wednesday, next day will be their rest day)
Updated 20/5/2022","7.00am to 2.00pm , 5.30pm to 9.00pm"
"Business Hour : 6.30am to 5.00pm 
Open daily
Updated 25/3/2022",6.30am to 5.00pm
"Business Hour : 12.30pm to 8.00pm 
Open daily
Updated 21/5/2022 ",12.30pm to 8.00pm
Business Hour : 11.00am to 9.30pm Open daily Updated 24/5/2022,11.00am to 9.30pm
"Business Hour : 8.00am to 4.30pm
Rest day : Tuesday 
Updated 2/8/2022",8.00am to 4.30pm
"Business Hour : 11.00am to 8.00pm Rest day : Tuesday (If 1st & 15th of lunar month fall on Tuesday, next day will be their rest day.)
Updated 9/5/2022",11.00am to 8.00pm
"Business Hour : 6.30am to 2.00pm , 5.00pm to 7.00pm  
Rest day : Monday  
Updated 7/4/2022","6.30am to 2.00pm , 5.00pm to 7.00pm"
"Business Hour : 11.00am to 3.00pm , 5.30pm to 10.00pm Rest day : Wednesday , 3th &  17th lunar month   
Updated 13/4/2022","11.00am to 3.00pm , 5.30pm to 10.00pm"
"Business Hour : 7.00am to 2.00pm  
Rest day : alternate Friday 
Updated 12/4/2022",7.00am to 2.00pm
"Business Hour : 10.30am to 2.00pm  
Rest day : alternate Wednesday & Saturday
Updated 13/4/2022",10.30am to 2.00pm
"Business Hour : 9.00am to 2.00pm 
Rest day : Monday
Updated 22/5/2022",9.00am to 2.00pm
"Business Hour : 7.00am to 11.00am Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 8/4/2022",7.00am to 11.00am
Business Hour : 7.00am to 10.00am Rest day : Thursday (Friday close if 1st & 15th of lunar month fall on Thursday) Updated 10/04/2022,7.00am to 10.00am
"Business Hour : 12.00pm to 7.00pm  
Rest day : Sunday & Public Holidays 
Updated 23/5/2022",12.00pm to 7.00pm
"Business Hour : 11.00am to 3.00pm , 5.00pm to 7.00pm ; open as usual on the 2nd & 4th Sunday of every month
Rest day : weekends 
Updated 13/4/2022


","11.00am to 3.00pm , 5.00pm to 7.00pm ; open as usual on the 2nd & 4th Sunday of every month"
"Business Hour : 11.00am to 9.30pm 
Rest day : alternate Wednesday 
Updated 7/4/2022",11.00am to 9.30pm
"Business Hour : 6.30am to 10.30am ; Sunday 6.30am to 11.30am 
Rest day : Tuesday
Updated 29/4/2022",6.30am to 10.30am ; Sunday 6.30am to 11.30am
Business Hour : 7.00am to 2.00pm Open daily Updated 6/5/2022,7.00am to 2.00pm
"Business Hour : 7.00am to 1.30pm 
Rest day : Sunday 
Updated 20/6/2022",7.00am to 1.30pm
"Business Hour : 6.45am to 11.30am
Rest day : Monday
Updated 23/5/2022",6.45am to 11.30am
"Restaurant Hour : 9.00am to 7.00pm 
Rest day : Monday
Updated 14/4/2022

",
"Business Hour : 11.00am to 8.00pm
Rest day : Thursday
Updated 1/8/2022",11.00am to 8.00pm
"Business Hour : 3.00pm to 8.00pm 
Rest day : Monday & Tuesday
Updated 14/4/2022",3.00pm to 8.00pm
"Business Hour : 7.00am to 3.00pm ; 1st & 15th of lunar month 6.30am to 3.00pm Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.) Updated 23/5/2022",7.00am to 3.00pm ; 1st & 15th of lunar month 6.30am to 3.00pm
"Business Hour : 6.00am to 2.30pm  
Rest day : Sunday and selective Public Holidays Updated 28/5/2022",6.00am to 2.30pm
Business Hour : 8.00am to 8.00pm ; 1st & 15th of lunar month 7.00am to 8.00pm Rest day : Wednesday Updated 30/4/2022,8.00am to 8.00pm ; 1st & 15th of lunar month 7.00am to 8.00pm
"Business Hour : 7.00am to 2.00pm
Rest day : alternate Thursday
Updated 14/4/2022",7.00am to 2.00pm
Business Hour : 8.00am to 3.00pm ; 1st & 15th of lunar month 7.00am to 3.00pm Rest day : 2nd & 16th of lunar month Updated 24/5/2022,8.00am to 3.00pm ; 1st & 15th of lunar month 7.00am to 3.00pm
"Business Hour : 6.00am to 2.00pm
Rest day : uncertain
Updated 1/4/2022",6.00am to 2.00pm
Business Hour : 7.30am to 1.30pm Rest day : Monday Updated 13/4/2022,7.30am to 1.30pm
"Business Hour : 6.30am to 11.00am
Rest day : alternate Thursday
Updated 23/5/2022",6.30am to 11.00am
"Business Hour : 5.00pm to 9.00pm 
Rest day : Monday & Wednesday   
Updated 17/5/2022",5.00pm to 9.00pm
"Business Hour : 7.00am to 8.30pm 
Rest day : Wednesday 
Updated 4/8/2022",7.00am to 8.30pm
"Business Hour : 7.00am to 1.00pm  
Rest day : Tuesdays & Wednesday 
Updated 22/4/2022",7.00am to 1.00pm
"Business Hour : 10.30am to 9.30pm
Open daily
Updated 21/4/2022",10.30am to 9.30pm
"Business Hour : 2.30pm to 7.00pm
Rest day : Monday & Friday (including 1st & 15th of lunar month)
Updated 13/4/2022",2.30pm to 7.00pm
"Business Hour : 6.30am to 11.00am 
Rest day : Thursday 
Updated 6/5/2022",6.30am to 11.00am
"Business Hour : 6.30am to 1.00pm
Rest day : Thursday
Updated 11/2/2022",6.30am to 1.00pm
"Business Hour : 4.30am to 10.30am
Rest day : Sunday
Updated 13/4/2022",4.30am to 10.30am
"Business Hour : 6.00am to 9.30am 
Rest day : Sunday 
Updated 19/4/2022",6.00am to 9.30am
"Business Hour : 5.00pm to 8.30pm Rest day : Sunday (including 1st & 15th of lunar month)
Updated 11/04/2022",5.00pm to 8.30pm
"Business Hour : 7.00am to 1.30pm
Rest day : uncertain
Updated 8/8/2022",7.00am to 1.30pm
"Business Hour : 7.00am to 3.00pm Rest day : Friday, Saturday and Deepavali.
Updated 27/5/2022",7.00am to 3.00pm
Business Hour : 8.30am to 9.00pm Open daily Updated 9/4/2022,8.30am to 9.00pm
"Business Hour :  7.00am to 2.00pm 
Rest day : Sunday 
Updated 17/4/2022",7.00am to 2.00pm
"Business Hour : 4.30pm to 8.30pm Rest day : Saturday 
Updated 22/5/2022",4.30pm to 8.30pm
"Business Hour ：7.00am to 10.00am
Rest day ：Monday 
Updated 18/4/2022",
"Business Hour :  11.30am to 2.30pm , 4.30pm to 8.30pm 
Open daily 
Updated 10/4/2022","11.30am to 2.30pm , 4.30pm to 8.30pm"
"Business Hour : 11.00am to 3.00pm, 4.30pm to 9.00pm
Rest day : Monday
Updated 27/7/2022","11.00am to 3.00pm, 4.30pm to 9.00pm"
"Business Hour : 12.00pm to 9.00pm 
Rest day : Wednesday
Updated 3/3/2022",12.00pm to 9.00pm
"Business Hour : 7.00am to 12.30pm 
Rest day : Monday & Tuesday (if 1st & 15th of lunar month fall on Monday or Tuesday, next day will be their rest day)
Updated 22/5/2022",7.00am to 12.30pm
"Business Hour : 11.00am to 3.00pm , 5.00pm to 8.00pm  
Rest day : Tuesday & Wednesday (if 1st & 15th of lunar month fall on Tuesday or Wednesday , Thursday will be their rest day)
Updated 9/8/2022

 

","11.00am to 3.00pm , 5.00pm to 8.00pm"
"Business Hour : 5.30pm to 9.00pm
Rest day : Sunday & Monday
Updated 1/8/2022",5.30pm to 9.00pm
"Business Hour : 3.30pm to 7.30pm
Rest day : Sunday 
Updated 30/5/2022",3.30pm to 7.30pm
"Business Hour : 11.00am to 3.00pm , 6.00pm to 10.00pm  
Rest day : Tuesday
Updated 24/5/2022
","11.00am to 3.00pm , 6.00pm to 10.00pm"
"Business Hour :  6.30am to 1.00pm
Open daily 
Updated 4/4/2022",6.30am to 1.00pm
"Business Hour : 7.00am to 7.00pm 
Rest day :  alternate Friday
Updated 12/3/2022",7.00am to 7.00pm
"Restaurant Hour : 8.00am to 6.00pm ; Sunday 10.00am to 2.00pm
Open daily 
Updated 31/5/2022",
"Business Hour : 9.30am to 9.30pm 
Open daily 
Updated 31/3/2022",9.30am to 9.30pm
"Business Hour : only open on Saturday & Sunday 8.00am to 12.00pm 
Updated 19/4/2022
",
"Business Hour :7.00am to 2.00pm  
Rest day : Sunday 
Updated 18/4/2022",
"Business Hour : 10.15am to 9.00pm ; Sunday 11.00am to 2.30pm ; 5.00pm to 9.30pm
Open daily 
Updated 20/2/2022
",10.15am to 9.00pm ; Sunday 11.00am to 2.30pm ; 5.00pm to 9.30pm
Business Hour : 6.30am to 12.00pm Open daily Updated 25/2/2020,6.30am to 12.00pm
"Business Hour : 7.00am to 1.30pm
Rest day : Sunday
Updated 13/4/2022",7.00am to 1.30pm
"Business Hour : 9.30am to 3.30pm  
Rest day : Monday & Tuesday ( if 1st & 15th of lunar month fall on Monday or Tuesday ,next day will be their rest day )
Updated 2/8/2022




",9.30am to 3.30pm
"Business Hour : 9.00am to 3.00pm , 5.00pm to 8.00pm 
Rest day : Thursday
Updated 31/3/2022","9.00am to 3.00pm , 5.00pm to 8.00pm"
"Business Hour : 10.30am to 2.30pm , 5.30pm to 9.00pm
Rest day : Monday
Updated 23/5/2022","10.30am to 2.30pm , 5.30pm to 9.00pm"
"Business Hour : 4.00am to 2.00pm  
Rest day : uncertain （ Saturday & Sunday or Sunday & Monday ）
Updated 14/4/2022
",4.00am to 2.00pm
"Business Hour : 7.00am to 2.00pm  Rest day : Sunday
Updated 14/5/2022",7.00am to 2.00pm
"Business Hour : 8.00am to 3.00pm
Rest day : Weekends
Updated 12/4/2022",8.00am to 3.00pm
"Business Hour : 6.00am to 9.00am 
Rest day : Weekends  
Updated 12/4/2022",6.00am to 9.00am
"Business Hour : 11.00am to 7.00pm ; 1st & 15th of lunar month 10.00am to 7.00pm 
Rest day : Friday & Saturday ( regardless 1st & 15th of lunar month fall on Saturday )
Updated 29/5/2022


",11.00am to 7.00pm ; 1st & 15th of lunar month 10.00am to 7.00pm
"Business Hour : 8.00am to 2.00pm
Rest day : Monday
Updated 1/6/2022",8.00am to 2.00pm
"Restaurant Hour : 10.30am to 3.30pm , 4.30pm to 9.00pm
Open daily 
Updated 13/4/2022",
"Business Hour : 11.30am to 5.30pm
Rest day : Monday
Updated 24/4/2022",11.30am to 5.30pm
"Business Hour : 11.00am to 9.00pm 
Rest day : Tuesday
Updated 5/5/2022",11.00am to 9.00pm
"Business Hour : 5.00pm to 9.00pm
Rest day : Thursday 
Updated 19/4/2022
",5.00pm to 9.00pm
"Business Hour : 8.30am to 8.30pm
Rest day : Sunday
Updated 8/6/2022",8.30am to 8.30pm
"Business Hour : 7.30am to 6.30pm 
Rest day : Thursday  Updated 9/4/2022	",7.30am to 6.30pm
"Business Hour : only open on Thursday & Saturday 6.00am to 10.00am
Updated 20/6/2022",
"Business Hour : 7.00am to 10.00am Rest day : Saturday, Sunday & selective public holidays (including 1st & 15th of lunar month)
Updated 8/5/2022",7.00am to 10.00am
"Business Hour : 2.30pm to 8.00pm
Rest day : weekends
Updated 14/4/2022",2.30pm to 8.00pm
"Business Hour : 8.00am to 3.00pm Rest day : Monday
Updated 29/5/2022",8.00am to 3.00pm
"Business Hour : 7.00am to 3.00pm
Rest day : uncertain Updated 17/4/2022

",7.00am to 3.00pm
"Business Hour : 8.00am to 2.30pm
Rest day : Wednesday
Updated 7/8/2022",8.00am to 2.30pm
