linkDescription,hours
"Business Hour : 9.00am to 6.30pm
Rest day : Sunday
Updated 14/4/2022",9.00am to 6.30pm
"Business Hour : 8.30am to 12.00am
Rest day : Sunday
Updated 18/5/2022",8.30am to 12.00am
"Business Hour : 10.00am to 10.00pm ; Friday to Sunday 10.00am to 11.00pm
Open daily 
Updated 8/8/2022


",10.00am to 10.00pm ; Friday to Sunday 10.00am to 11.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : Wednesday
Updated 16/4/2022",7.00am to 2.30pm
"Business Hour : 6.30am to 11.00am 
Rest day : 2nd & 16th of lunar month 
Updated 16/4/2022",6.30am to 11.00am
"Business Hour  : 6.00am to 10.30am 
Open daily
Updated 16/4/2022",
"Business Hour : 8.30am to 4.00pm
Rest day : Tuesday
Updated 1/9/2022",8.30am to 4.00pm
"Business Hour : 10.00am to 8.30pm
Open daily
Updated 7/2/2022",10.00am to 8.30pm
"Business Hour : 7.00am to 2.00pm 
Rest day : Thursday
Updated 16/4/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 7.00pm
Rest day : Thursday 
Updated 19/7/2022",7.00am to 7.00pm
"Business Hour : 12.00pm to 7.30pm 
Rest day : Thursday 
Updated 14/4/2022",12.00pm to 7.30pm
